reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
119a91ab-bf3f-4d6e-a384-2d3aa2f27ff0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"mau tambahkan nomor telp tapi ada notif ""no. telepon tidak dapat ditambahkan di negara/wilayah anda"". di cari negara indonesia tidak ada pilihan. ngapain masuk dinplaystore indonesia apk line ini?? hapus saja dari playstore kalo indoneaia gak ada. apk sampah!!!!",1,49,15.3.0,2025-03-27 15:43:03,,,15.3.0
25e0d93a-4bfa-43a1-a64d-ed57d04c7f94,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saya memiliki pengalaman yang buruk sekali dengan line. awalnya, saya tidak bisa mencari ID teman saya, selalu ada tulisan ""terjadi error yang tidak diketahui"". lalu saat masalah itu selesai, ada masalah baru yaitu orang tidak dapat menerima pesan yang saya kirim padahal di saya notifnya sudah terkirim. posisinya saya memiliki koneksi yang baik, saya tidak mengaktifkan filter pesan, tidak melakukan pelanggaran dan memiliki aplikasi yang paling terbaru.",1,5,15.3.1,2025-03-27 13:34:10,,,15.3.1
4b3b9c3e-fb98-4ffa-8aa8-c6b96a9fa7da,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saya pengguna baru line, saat saya mendaftar menggunakan akun google banyak dekali error nya, mulai dari tidak bisa menambahkan teman dan terus muncul tulisan error tidak di ketahui, tidak bisa mencari penggunaan lain lewat id, tidak dapat masuk grup lewat link undangan, tidak dapat melihat note yang ada di grup, yang katanya oerlu mendaftar nomer telepon terlebih dahulu, tapi di negara saya (Indonesia) mendaftarkan telepon sudah tidak bisa dilakukan lagi, tolong berikan solusinya",1,187,15.3.1,2025-03-24 09:53:13,,,15.3.1
7eca05ed-0a58-4eff-ba23-a80b0d869365,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"menambahkan teman eror/gak bisa. mengaktifkan add teman otomatis nomor tidak bisa didaftarkan. nambahin temen via barcode juga gak bisa,aplikasi apa ini cok? jaman samsung galaxi star masih bagus,skarang aplikasinya udah ampas!! boikot,blokir pliz!!!",2,55,15.2.1,2025-03-22 06:43:05,,,15.2.1
46a79be0-74ff-4ff1-85a8-0b314fb12b0c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ads nya tiba-tiba muncul dan menghilang setiap keluar dari percakapan. sangat menggangu sekali karena membuat user tidak bisa melakukan tasking dengan cepat akibat ada perubahan mendadak dr urutan percakapan yang ingin di klik. Lebih baik sekalian terlihat saja, atau dihilangkan sama sekali.",2,54,15.2.1,2025-03-16 03:28:48,,,15.2.1
8b038a91-847c-433a-b9c3-6fefd38741ea,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Login tidak bisa lewat perangkat baru, lalu verifikasi selalu diblokir padahal sudah daftarkan email dan nomor telepon, menambahkan pertemanan dibatasi dan tidak bisa ditambah. Aplikasi buruk, penurunan drastis. Developer harus merespon keluhan saya segera atau akan ada tuntutan terbuka kepada kalian!",1,887,15.2.1,2025-03-07 08:31:49,,,15.2.1
c312e00a-085e-4ff1-912d-3a006e4f3ba6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Mau pindah device aja ribet banget, pake cara lain tetep ngk guna, udah pake email suruh tetep masukin code yang ada pada aplikasi yang udah login sebelumnya, padahal yang login dah hapus data, gimana masuk nya, di kasih petunjuk dari dokumentasi nya berbeda dengan yang di dapat pada aplikasi, menurut gw ini aplikasi sosial media paling susah untuk sekedar login",1,428,15.0.0,2025-01-30 18:20:33,,,15.0.0
fb6a73c5-ad35-439a-90b7-fdb967f1225a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya sebenarnya bagus, tetapi ada sedikit kendala saat ingin login kembali ke akun lama setelah menghapus dan mengunduh ulang aplikasi. Saya mengalami kesulitan karena harus melakukan verifikasi, padahal masih menggunakan perangkat yang sama. Sayangnya, proses verifikasi tidak bisa dilakukan karena akun sebelumnya sudah tidak dalam keadaan login. Semoga ke depannya bisa ada opsi yang lebih memudahkan pengguna untuk mengakses kembali akun lama tanpa proses yang terlalu rumit.",2,182,15.0.0,2025-02-08 03:16:13,,,15.0.0
fb74902a-42e7-4384-8926-e9a86307e6f7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ngga jelas. sering banget error, saya kirim pesan ga masuk di orang, koneksinya terputus, dan tdk bisa melihat notes karna katanya tidak memiliki izin. ketika saya uninstall lalu install kembali, malah verif ke blokir. tolong diperbaiki karena sangat menyulitkan saya dan teman teman saya yang sangat membutuhkan line saat ini.",1,74,15.2.1,2025-03-22 03:25:16,,,15.2.1
728abca2-a8ce-4efa-9c2e-5ef849f04b3c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tampilan line sekarang jelek kali. Postingan di beranda ku yg dari jaman dulu pada hilang gk bisa di liat lagi. Tampilan Line voom nya juga hilang. Jadi cuma bisa cht tlpn doang. Kecewa sumpah. Padahal banyak memori di line ini dari awal pakek. Tolong kembalikan lagi fitur nya seperti dulu !!!!,1,347,15.0.0,2025-02-17 07:11:59,,,15.0.0
